genes	hgnc_synonyms	hgnc_genes	phenotype	phenotypeInheritance	geneMimNumber	phenotypeMimNumber	chromosome	comments
SLC2A2|GLUT2	SLC2A2|SLC2A2	SLC2A2	Fanconi-Bickel syndrome	Autosomal recessive	138160	227810	3	NA
TNIK|KIAA0551	TNIK|TNIK	TNIK	NA	NA	610005	NA	3	NA
APMR1	NA	NA	Alopecia-mental retardation syndrome 1	Autosomal recessive	203650	203650	3	max lod at D3S3583
PLD1	PLD1,PRKCSH	PRKCSH,PLD1	NA	NA	602382	NA	3	NA
FNDC3B|FAD104	FNDC3B|FNDC3B	FNDC3B	NA	NA	611909	NA	3	NA
GHSR|GHDP	GHSR|NA	GHSR	Growth hormone deficiency, isolated partial	Autosomal dominant; Autosomal recessive	601898	615925	3	NA
TNFSF10|TRAIL|APO2L	TNFSF10|TNFSF10|NA	TNFSF10	NA	NA	603598	NA	3	NA
NCEH1|NCEH|KIAA1363	NCEH1|NCEH1|NCEH1	NCEH1	NA	NA	613234	NA	3	NA
ECT2	ECT2	ECT2	NA	NA	600586	NA	3	NA
SPATA16|SPGF6	SPATA16|NA	SPATA16	?Spermatogenic failure 6	Autosomal recessive	609856	102530	3	mutation identified in 1 SPGF6 family
NLGN1	NLGN1	NLGN1	NA	NA	600568	NA	3	NA
NAALADL2	NAALADL2	NAALADL2	NA	NA	608806	NA	3	?involved in Cornelia de Lange syndrome
FAME4|FCMTE4	NA|NA	NA	Epilepsy, myoclonic, familial adult, 4	Autosomal dominant	615127	615127	3	between D3S3730 and D3S1580
TBL1XR1|TBLR1|IRA1|C21	TBL1XR1|TBL1XR1|TBL1XR1|TBL1XR1	TBL1XR1	NA	NA	608628	NA	3	NA
KCNMB2	KCNMB2,KCNMB3	KCNMB3,KCNMB2	NA	NA	605214	NA	3	NA
WIG1	ZMAT3	ZMAT3	NA	NA	606452	NA	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Colorectal cancer, somatic	None	171834	114500	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic	None	171834	602501	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	CLOVE syndrome, somatic	None	171834	612918	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Keratosis, seborrheic, somatic	None	171834	182000	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Breast cancer, somatic	None	171834	114480	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Hepatocellular carcinoma, somatic	None	171834	114550	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Ovarian cancer, somatic	None	171834	167000	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Gastric cancer, somatic	None	171834	613659	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Nonsmall cell lung cancer, somatic	None	171834	211980	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Cowden syndrome 5	None	171834	615108	3	NA
PIK3CA|CLOVE|MCAP|MCM|MCMTC|CWS5	PIK3CA|NA|BRD4|NA|NA|NA	BRD4,PIK3CA	Nevus, epidermal, somatic	None	171834	162900	3	NA
KCNMB3	KCNMB3	KCNMB3	NA	NA	605222	NA	3	NA
GNB4|CMTD1F	GNB4|NA	GNB4	Charcot-Marie-Tooth disease, dominant intermediate F	Autosomal dominant	610863	615185	3	NA
ACTL6A|BAF53|BAF53A	ACTL6A|NA|ACTL6A	ACTL6A	NA	NA	604958	NA	3	NA
MRPL47	MRPL47	MRPL47	NA	NA	611852	NA	3	NA
USP13|ISOT3	USP13|NA	USP13	NA	NA	603591	NA	3	NA
PEX5L|PEX5R|PXR2B	PEX5L|PEX5L|NA	PEX5L	NA	NA	611058	NA	3	NA
CCDC39	CCDC39	CCDC39	Ciliary dyskinesia, primary, 14	None	613798	613807	3	NA
FXR1	FXR1	FXR1	NA	NA	600819	NA	3	pseudogene on 12q12
DNAJC19|TIM14	DNAJC19|NA	DNAJC19	3-methylglutaconic aciduria, type V	Autosomal recessive	608977	610198	3	NA
SOX2OT|NCRNA00043	SOX2-OT|SOX2-OT	SOX2-OT	NA	NA	616338	NA	3	NA
SOX2|MCOPS3	SOX2|NA	SOX2	Optic nerve hypoplasia and abnormalities of the central nervous system	Autosomal dominant	184429	206900	3	NA
SOX2|MCOPS3	SOX2|NA	SOX2	Microphthalmia, syndromic 3	Autosomal dominant	184429	206900	3	NA
ATP11B|ATPIR	ATP11B|ATP11B	ATP11B	NA	NA	605869	NA	3	NA
DCUN1D1|RP42	DCUN1D1|DCUN1D1,KLHL7	DCUN1D1,KLHL7	NA	NA	605905	NA	3	previously mapped to 6q16
AOMS1|SYNX	NA|NA	NA	Abdominal obesity-metabolic syndrome 1	None	605552	605552	3	epistatic gene on 17p12
SPG14	SPG14	SPG14	Spastic paraplegia 14, autosomal recessive	Autosomal recessive	605229	605229	3	NA
MCCC1|MCCA	MCCC1|MCCC1	MCCC1	3-Methylcrotonyl-CoA carboxylase 1 deficiency	Autosomal recessive	609010	210200	3	NA
DCLAMP	LAMP3	LAMP3	NA	NA	605883	NA	3	NA
B3GNT5	B3GNT5	B3GNT5	NA	NA	615333	NA	3	NA
KLHL6|FLJ00029	KLHL6,KLHL7|KLHL6	KLHL6,KLHL7	NA	NA	614214	NA	3	NA
KLHL24|KRIP6	KLHL24|NA	KLHL24	NA	NA	611295	NA	3	NA
YEATS2|KIAA1197	YEATS2|YEATS2	YEATS2	NA	NA	613373	NA	3	NA
MAPO6D1|SL21	NA|MAP6D1	MAP6D1	NA	NA	610593	NA	3	NA
PARL	PARL	PARL	NA	NA	607858	NA	3	NA
ABCC5|MRP5|MOATC	ABCC5|ABCC5|NA	ABCC5	NA	NA	605251	NA	3	NA
HTR3D	HTR3D	HTR3D	NA	NA	610122	NA	3	NA
HTR3C	HTR3C	HTR3C	NA	NA	610121	NA	3	NA
HTR3E	HTR3E	HTR3E	NA	NA	610123	NA	3	NA
EIF2B5|LVWM|CACH|CLE	EIF2B5|NA|NA|C14orf166	C14orf166,EIF2B5	Ovarioleukodystrophy	Autosomal recessive	603945	603896	3	NA
EIF2B5|LVWM|CACH|CLE	EIF2B5|NA|NA|C14orf166	C14orf166,EIF2B5	Leukoencephalopathy with vanishing white matter	Autosomal recessive	603945	603896	3	NA
DVL3	DVL3	DVL3	NA	NA	601368	NA	3	NA
AP2M1|CLAPM1	AP2M1|AP2M1	AP2M1	NA	NA	601024	NA	3	NA
MIR1224|MIRN1224	MIR1224|MIR1224	MIR1224	NA	NA	611620	NA	3	NA
ALG3|NOT56L|CDGS4|CDG1D	ALG3|ALG3|ALG3|NA	ALG3	Congenital disorder of glycosylation, type Id	Autosomal recessive	608750	601110	3	NA
ECE2|KIAA0604	ECE2|ECE2	ECE2	NA	NA	610145	NA	3	NA
CAMK2N2|CAMKIIN	CAMK2N2|NA	CAMK2N2	NA	NA	608721	NA	3	NA
PSMD2|S2|TRAP2	PSMD2|PSMD2,RPS2|PSMD2,HSP90B3P	HSP90B3P,RPS2,PSMD2	NA	NA	606223	NA	3	NA
EIF4G1|EIF4G|PARK18	EIF4G1|EIF4G1|EIF4G1	EIF4G1	Parkinson disease 18	Autosomal dominant	600495	614251	3	amplified in squamous cell lung cancer
CLCN2|EGMA|ECA2|EGI11|EJM8|LKPAT	CLCN2|NA|NA|NA|NA|NA	CLCN2	Epilepsy, idiopathic generalized, susceptibility to, 11	Autosomal dominant	600570	607628	3	NA
CLCN2|EGMA|ECA2|EGI11|EJM8|LKPAT	CLCN2|NA|NA|NA|NA|NA	CLCN2	Leukoencephalopathy with ataxia	Autosomal recessive	600570	615651	3	NA
CLCN2|EGMA|ECA2|EGI11|EJM8|LKPAT	CLCN2|NA|NA|NA|NA|NA	CLCN2	Epilepsy, juvenile myoclonic, susceptibility to, 8	Autosomal dominant	600570	607628	3	NA
CLCN2|EGMA|ECA2|EGI11|EJM8|LKPAT	CLCN2|NA|NA|NA|NA|NA	CLCN2	Epilepsy, juvenile absence, susceptibility to, 2	Autosomal dominant	600570	607628	3	NA
POLR2H|RPB8	POLR2H|POLR2H	POLR2H	NA	NA	606023	NA	3	NA
THPO|MGDF|MPLLG|TPO|THCYT1	THPO|THPO|THPO|THPO,TPO|NA	TPO,THPO	Thrombocythemia 1	Autosomal dominant	600044	187950	3	NA
CHRD	CHRD	CHRD	NA	NA	603475	NA	3	near THPO, CLCN2, EIF4G1
EPHB3|ETK2	EPHB3|EPHB3	EPHB3	NA	NA	601839	NA	3	NA
MAGEF1	MAGEF1	MAGEF1	NA	NA	609267	NA	3	NA
EHHADH|PBFE|LBFP|FRTS3	EHHADH|NA|NA|NA	EHHADH	?Fanconi renotubular syndrome 3	Autosomal dominant	607037	615605	3	mutation identified in 1 family
MAP3K13|LZK	MAP3K13|MAP3K13	MAP3K13	NA	NA	604915	NA	3	NA
LIPH|LAH2|ARWH2|HYPT7	LIPH|NA|NA|NA	LIPH	Woolly hair, autosomal recessive 2 with or without hypotrichosis	Autosomal recessive	607365	604379	3	NA
LIPH|LAH2|ARWH2|HYPT7	LIPH|NA|NA|NA	LIPH	Hypotrichosis 7	Autosomal recessive	607365	604379	3	NA
SENP2|SMT3IP2|AXAM2|KIAA1331	SENP2|SENP2|SENP2|SENP2	SENP2	NA	NA	608261	NA	3	NA
IGF2BP2|IMP2	IGF2BP2|IMMP2L,SPPL3	SPPL3,IGF2BP2,IMMP2L	Diabetes mellitus, noninsulin-dependent, susceptibility to	Autosomal dominant	608289	125853	3	NA
TRA2B|SFRS10	TRA2B|TRA2B	TRA2B	NA	NA	602719	NA	3	NA
ETV5|ERM	ETV5|ETV5	ETV5	NA	NA	601600	NA	3	NA
DGKG|DAGK3	DGKG|DGKG	DGKG	NA	NA	601854	NA	3	NA
CRYGS|CRYG8|CTRCT20	CRYGS|CRYGS|NA	CRYGS	Cataract 20, multiple types	Autosomal dominant	123730	116100	3	NA
DNAJB11|HEDJ|DJ9|ABBP2	DNAJB11|DNAJB11|NA|NA	DNAJB11	NA	NA	611341	NA	3	NA
AHSG	AHSG	AHSG	NA	NA	138680	NA	3	linked to TF, CHE1; ?order = cen-TF-CHE1-AHSG
FETUB	FETUB	FETUB	NA	NA	605954	NA	3	NA
HRG|THPH11	HRG,NRG1|NA	NRG1,HRG	Thrombophilia due to HRG deficiency	None	142640	613116	3	NA
HRG|THPH11	HRG,NRG1|NA	NRG1,HRG	Thrombophilia due to elevated HRG	None	142640	613116	3	NA
KNG1|KNG	KNG1|KNG1	KNG1	Kininogen deficiency	Autosomal recessive	612358	228960	3	NA
KNG1|KNG	KNG1|KNG1	KNG1	High molecular weight kininogen deficiency	Autosomal recessive	612358	228960	3	NA
EIF4A2	EIF4A2	EIF4A2	NA	NA	601102	NA	3	previously 18p11.2 by FISH
SNORA63|RNU107|RNE3	SNORA63|SNORA63|SNORA63	SNORA63	NA	NA	180647	NA	3	NA
RFC4	RFC4	RFC4	NA	NA	102577	NA	3	NA
ADIPOQ|APM1|GBP28|ADIPQTL1	ADIPOQ|NA|ADIPOQ|NA	ADIPOQ	Adiponectin deficiency	None	605441	612556	3	NA
SIAT1	ST6GAL1	ST6GAL1	NA	NA	109675	NA	3	NA
RPL39L	RPL39L	RPL39L	NA	NA	607547	NA	3	NA
RTP1	RTP1	RTP1	NA	NA	609137	NA	3	NA
MASP1|CRARF|3MC1	MASP1|MASP1|NA	MASP1	3MC syndrome 1	Autosomal recessive	600521	257920	3	NA
RTP4	RTP4	RTP4	NA	NA	609350	NA	3	NA
SST	SST	SST	NA	NA	182450	NA	3	NA
RTP2	RTP2	RTP2	NA	NA	609138	NA	3	NA
BCL6	BCL6	BCL6	Lymphoma, B-cell	None	109565	109565	3	NA
LPP	LPP	LPP	Lipoma	None	600700	NA	3	fused with HMGIC in lipoma; fused with MLL in leukemia
LPP	LPP	LPP	Leukemia, acute myeloid	Autosomal dominant	600700	601626	3	fused with HMGIC in lipoma; fused with MLL in leukemia
CELIAC11	NA	NA	Celiac disease, susceptibility to, 11	None	612009	612009	3	associated with rs1464510
LNCR5	NA	NA	Lung cancer susceptibility 5	None	614210	614210	3	associated with rs4488809
MIR28|MIRN28	MIR28|MIR28	MIR28	NA	NA	612154	NA	3	NA
TP63|TP73L|KET|EEC3|SHFM4|LMS|RHS|OFC8	TP63|TP63|TP63|TP63|TP63|NA|NA|TP63	TP63	Split-hand/foot malformation 4	Autosomal dominant	603273	605289	3	NA
TP63|TP73L|KET|EEC3|SHFM4|LMS|RHS|OFC8	TP63|TP63|TP63|TP63|TP63|NA|NA|TP63	TP63	ADULT syndrome	Autosomal dominant	603273	103285	3	NA
TP63|TP73L|KET|EEC3|SHFM4|LMS|RHS|OFC8	TP63|TP63|TP63|TP63|TP63|NA|NA|TP63	TP63	Rapp-Hodgkin syndrome	Autosomal dominant	603273	129400	3	NA
TP63|TP73L|KET|EEC3|SHFM4|LMS|RHS|OFC8	TP63|TP63|TP63|TP63|TP63|NA|NA|TP63	TP63	Orofacial cleft 8	Autosomal dominant	603273	129400	3	NA
TP63|TP73L|KET|EEC3|SHFM4|LMS|RHS|OFC8	TP63|TP63|TP63|TP63|TP63|NA|NA|TP63	TP63	Limb-mammary syndrome	Autosomal dominant	603273	603543	3	NA
TP63|TP73L|KET|EEC3|SHFM4|LMS|RHS|OFC8	TP63|TP63|TP63|TP63|TP63|NA|NA|TP63	TP63	Hay-Wells syndrome	Autosomal dominant	603273	106260	3	NA
TP63|TP73L|KET|EEC3|SHFM4|LMS|RHS|OFC8	TP63|TP63|TP63|TP63|TP63|NA|NA|TP63	TP63	Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3	Autosomal dominant	603273	604292	3	NA
P3H2|LEPREL1|MCVD	P3H2|P3H2|NA	P3H2	Myopia, high, with cataract and vitreoretinal degeneration	Autosomal recessive	610341	614292	3	NA
CLDN1|SEMP1|ILVASC	CLDN1|CLDN1|CLDN1	CLDN1	Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis	Autosomal recessive	603718	607626	3	NA
CLDN16|PCLN1|HOMG3	CLDN16|CLDN16|CLDN16	CLDN16	Hypomagnesemia 3, renal	Autosomal recessive	603959	248250	3	NA
TMEM207	TMEM207	TMEM207	NA	NA	614786	NA	3	NA
IL1RAP	IL1RAP	IL1RAP	NA	NA	602626	NA	3	NA
GMNC|GEMC1	GMNC|GMNC	GMNC	NA	NA	614448	NA	3	NA
OSTN	OSTN	OSTN	NA	NA	610280	NA	3	NA
CCDC50|C3orf6|DFNA44	CCDC50|CCDC50|CCDC50	CCDC50	?Deafness, autosomal dominant 44	Autosomal dominant	611051	607453	3	mutation identified in 1 DFNA44 family
PYDC2|POP2	PYDC2|CNOT8,POPDC2,PYDC2	POPDC2,CNOT8,PYDC2	NA	NA	615701	NA	3	NA
FGF12|FHF1	FGF12|FGF12	FGF12	NA	NA	601513	NA	3	NA
DEL3q29|MICRODEL3q29	NA|NA	NA	Chromosome 3q29 microdeletion syndrome	Isolated cases	609425	609425	3	contiguous gene deletion syndrome
DUP3q29|MICRODUP3q29	NA|NA	NA	Chromosome 3q29 microduplication syndrome	Autosomal dominant	611936	611936	3	contiguous gene duplication syndrome
HRASLS	HRASLS	HRASLS	NA	NA	606487	NA	3	NA
ATP13A4	ATP13A4	ATP13A4	NA	NA	609556	NA	3	NA
OPA1|NTG|NPG	MED12,OPA1|OPA1|OPA1	MED12,OPA1	Glaucoma, normal tension, susceptibility to	None	605290	606657	3	NA
OPA1|NTG|NPG	MED12,OPA1|OPA1|OPA1	MED12,OPA1	Optic atrophy plus syndrome	Autosomal dominant	605290	125250	3	NA
OPA1|NTG|NPG	MED12,OPA1|OPA1|OPA1	MED12,OPA1	Optic atrophy 1	Autosomal dominant	605290	165500	3	NA
HES1|HRY	C21orf33,HES1|HES1	HES1,C21orf33	NA	NA	139605	NA	3	NA
CPN2	CPN2,CPNE2,CYP11B2	CPN2,CYP11B2,CPNE2	NA	NA	603104	NA	3	conflicting assignment to chr.8
GP5	GP5	GP5	NA	NA	173511	NA	3	NA
ATP13A3|AFURS1	ATP13A3|ATP13A3	ATP13A3	NA	NA	610232	NA	3	NA
LSG1	LSG1	LSG1	NA	NA	610780	NA	3	NA
XXYLT1|C3orf21	XXYLT1|XXYLT1	XXYLT1	NA	NA	614552	NA	3	NA
CENTB2|KIAA0041|ACAP2	ACAP2|ACAP2|ACAP2	ACAP2	NA	NA	607766	NA	3	NA
PPP1R2|IPP2	PPP1R2|PPP1R2	PPP1R2	NA	NA	601792	NA	3	pseudogenes on chr. 5 and 6
APOD	APOD	APOD	NA	NA	107740	NA	3	NA
MIR570	MIR570	MIR570	NA	NA	614538	NA	3	NA
MUC20	MUC20	MUC20	NA	NA	610360	NA	3	NA
MUC4	MUC4	MUC4	NA	NA	158372	NA	3	NA
TNK2|ACK|ACK1	TNK2|TNK2|TNK2	TNK2	NA	NA	606994	NA	3	NA
TFRC|TFR|CD71|IMD46	TFRC|NA|TFRC|NA	TFRC	Immunodeficiency 46	None	190010	616740	3	NA
OSTA	NA	NA	NA	NA	612084	NA	3	NA
PCYT1A|CTPCT|PCYT1|SMDCRD	PCYT1A|PCYT1A|PCYT1A|NA	PCYT1A	Spondylometaphyseal dysplasia with cone-rod dystrophy	Autosomal recessive	123695	608940	3	NA
UBXN7|KIAA0794	UBXN7|UBXN7	UBXN7	NA	NA	616379	NA	3	NA
RNF168	RNF168	RNF168	RIDDLE syndrome	Autosomal recessive	612688	611943	3	NA
WDR53	WDR53	WDR53	NA	NA	615110	NA	3	NA
FBXO45|FBX45	FBXO45|NA	FBXO45	NA	NA	609112	NA	3	NA
NRROS|LRRC33	NRROS|NRROS	NRROS	NA	NA	615322	NA	3	NA
CEP19|C3orf34|MOSPGF	CEP19|CEP19|NA	CEP19	Morbid obesity and spermatogenic failure	Autosomal recessive	615586	615703	3	mutation identified in 1 family
PIGX	PIGX	PIGX	NA	NA	610276	NA	3	NA
PAK2|PAK65	PAK2|PAK2	PAK2	NA	NA	605022	NA	3	deleted in 3q29 microdeletion syndrome
SENP5	SENP5	SENP5	NA	NA	612845	NA	3	NA
NCBP2|CBP20|NIP1	NCBP2|NCBP2|NCBP2,NECAB3	NECAB3,NCBP2	NA	NA	605133	NA	3	NA
PIGZ|SMP3	PIGZ|PIGZ	PIGZ	NA	NA	611671	NA	3	NA
MFI2|MAP97	MFI2|MFI2	MFI2	NA	NA	155750	NA	3	NA
DLG1	DLG1,DLGAP5	DLG1,DLGAP5	NA	NA	601014	NA	3	deleted in 3q29 microdeletion syndrome
BDH1|BDH	BDH1|BDH1	BDH1	NA	NA	603063	NA	3	NA
RUBCN|RUBICON|KIAA0226|SCAR15	NA|NA|KIAA0226|NA	KIAA0226	?Spinocerebellar ataxia, autosomal recessive 15	Autosomal recessive	613516	615705	3	mutation identified in 1 family
IQCG	IQCG	IQCG	NA	NA	612477	NA	3	NA
RPL35A|DBA5	RPL35A|NA	RPL35A	Diamond-Blackfan anemia 5	None	180468	612528	3	previous assignment to chr.18 in error
LMLN	LMLN	LMLN	NA	NA	609380	NA	3	NA
CRSA|CRS3	NA|CRISP3	CRISP3	Craniosynostosis, Adelaide type	?Autosomal dominant	600593	600593	4	NA
INTLQ1	NA	NA	Intelligence QTL1	None	603783	603783	4	associated with D4S2943, MSX1, and D4S1607
MDCMP	NA	NA	Muscular dystrophy, congenital, merosin-positive	Autosomal recessive	609456	609456	4	max lod at D4S432
MHW1	NA	NA	Mental health wellness-1	None	603663	603663	4	at D4S2949
MNDEC	NA	NA	Microtia with nasolacrimal duct imperforation and eye coloboma	None	611863	NA	4	copy number variant (CNV) association
PLSA1|PLSA	NA|NA	NA	Primary lateral sclerosis, adult, 1	Autosomal dominant	611637	611637	4	max lod at D4S2936
SLEB3	SLEB3	SLEB3	Systemic lupus erythematosus, susceptibility to, 3	None	605480	605480	4	NA
SPG38	SPG38	SPG38	Spastic paraplegia 38, autosomal dominant	Autosomal dominant	612335	612335	4	between D4S432 and D4S1599
WHS	NA	NA	Wolf-Hirschhorn syndrome	Isolated cases	194190	194190	4	contiguous gene syndrome; critical region 200kb region 1.9Mb from telomere
ZNF141|D4S90|PAPA6	ZNF141|ZNF141|NA	ZNF141	?Polydactyly, postaxial, type A6	Autosomal recessive	194648	615226	4	1 family identified with mutation
PDE6B|PDEB|RP40|CSNBAD2	PDE6B|PDE6B|PDE6B|PDE6B	PDE6B	Retinitis pigmentosa-40	Autosomal recessive	180072	613801	4	NA
PDE6B|PDEB|RP40|CSNBAD2	PDE6B|PDE6B|PDE6B|PDE6B	PDE6B	Night blindness, congenital stationary, autosomal dominant 2	Autosomal dominant	180072	163500	4	NA
ATP5I|ATP5K	ATP5I|NA	ATP5I	NA	NA	601519	NA	4	NA
MYL5	MYL5	MYL5	NA	NA	160782	NA	4	NA
CPLX1|CPX1	CPLX1|CPXM1	CPXM1,CPLX1	NA	NA	605032	NA	4	NA
GAK	GAK	GAK	NA	NA	602052	NA	4	NA
TMEM175	TMEM175	TMEM175	NA	NA	616660	NA	4	NA
DGKQ|DAGK4	DGKQ|DGKQ	DGKQ	NA	NA	601207	NA	4	NA
SLC25A1|SAT1	SLC25A1|SAT1,SLC38A1	SAT1,SLC25A1,SLC38A1	NA	NA	610130	NA	4	NA
IDUA|IDA	IDUA|NA	IDUA	Mucopolysaccharidosis Is	Autosomal recessive	252800	607016	4	NA
IDUA|IDA	IDUA|NA	IDUA	Mucopolysaccharidosis Ih/s	Autosomal recessive	252800	607015	4	NA
IDUA|IDA	IDUA|NA	IDUA	Mucopolysaccharidosis Ih	Autosomal recessive	252800	607014	4	NA
FGFRL1	FGFRL1	FGFRL1	NA	NA	605830	NA	4	NA
RNF212|ZHP3	RNF212|NA	RNF212	Recombination rate QTL 1	None	612041	612042	4	NA
SPON2	SPON2	SPON2	NA	NA	605918	NA	4	NA
CTBP1	CTBP1	CTBP1	NA	NA	602618	NA	4	NA
MAEA|EMP	MAEA|MAEA	MAEA	NA	NA	606801	NA	4	NA
UVSSA|KIAA1530|UVSS3	UVSSA|UVSSA|NA	UVSSA	UV-sensitive syndrome 3	Autosomal recessive	614632	614640	4	NA
CRIPAK|FLJ3443	CRIPAK|NA	CRIPAK	NA	NA	610203	NA	4	NA
SLBP|HBP	SLBP|AZU1,HDLBP,HEBP1,SLBP	HEBP1,HDLBP,SLBP,AZU1	NA	NA	602422	NA	4	NA
TMEM129	TMEM129	TMEM129	NA	NA	615975	NA	4	NA
TACC3	TACC3	TACC3	NA	NA	605303	NA	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Cervical cancer, somatic	None	134934	603956	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Muenke syndrome	Autosomal dominant	134934	602849	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Thanatophoric dysplasia, type II	Autosomal dominant	134934	187601	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	CATSHL syndrome	Autosomal dominant; Autosomal recessive	134934	610474	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	LADD syndrome	Autosomal dominant	134934	149730	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Thanatophoric dysplasia, type I	Autosomal dominant	134934	187600	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Bladder cancer, somatic	None	134934	109800	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Hypochondroplasia	Autosomal dominant	134934	146000	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Spermatocytic seminoma, somatic	None	134934	273300	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Achondroplasia	Autosomal dominant	134934	100800	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Crouzon syndrome with acanthosis nigricans	Autosomal dominant	134934	612247	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	SADDAN	Autosomal dominant	134934	616482	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Colorectal cancer, somatic	None	134934	114500	4	NA
FGFR3|ACH	FGFR3|FGFR3	FGFR3	Nevus, epidermal, somatic	None	134934	162900	4	NA
LETM1	LETM1	LETM1	NA	NA	604407	NA	4	NA
WHSC1	WHSC1	WHSC1	NA	NA	602952	NA	4	NA
WHSC2	NELFA	NELFA	NA	NA	606026	NA	4	NA
C4orf48	C4orf48	C4orf48	NA	NA	614690	NA	4	NA
NAT8L|CML3|NACED	NAT8L|NA|NA	NAT8L	?N-acetylaspartate deficiency	None	610647	614063	4	mutation identified in 1 family
POLN	POLN	POLN	NA	NA	610887	NA	4	NA
HAUS3|DGT3|C4orf15	HAUS3|NA|HAUS3	HAUS3	NA	NA	613430	NA	4	NA
ZFYVE28|LST2|KIAA1643	ZFYVE28|NA|ZFYVE28	ZFYVE28	NA	NA	614176	NA	4	NA
RNF4	RNF4	RNF4	NA	NA	602850	NA	4	NA
TNIP2|ABIN2|FLIP1	TNIP2|NA|TNIP2	TNIP2	NA	NA	610669	NA	4	NA
SH3BP2|CRPM	SH3BP2|NA	SH3BP2	Cherubism	Autosomal dominant	602104	118400	4	NA
ADD1	ADD1	ADD1	Hypertension, essential, salt-sensitive	Multifactorial	102680	145500	4	NA
TETRAN|TPO1	MFSD10|SERINC5	SERINC5,MFSD10	NA	NA	610977	NA	4	NA
NOP14|NOL14|NOP14|RES425	NOP14|NOP14|NOP14|NA	NOP14	NA	NA	611526	NA	4	NA
GRK4|GPRK2L|GPRK4	GRK4|GRK4|GRK4	GRK4	NA	NA	137026	NA	4	NA
HTT|HD|IT15	HTT,SLC6A4|HTT|HTT	HTT,SLC6A4	Huntington disease	Autosomal dominant	613004	143100	4	distal to D4S10
RGS12	RGS12	RGS12	NA	NA	602512	NA	4	NA
HGFAC|HGFA	HGFAC|HGFAC	HGFAC	NA	NA	604552	NA	4	NA
DOK7|C4orf25|CMS10	DOK7|DOK7|NA	DOK7	Myasthenic syndrome, congenital, 10	Autosomal recessive	610285	254300	4	mutation identified in 1 FADS family
DOK7|C4orf25|CMS10	DOK7|DOK7|NA	DOK7	?Fetal akinesia deformation sequence	Autosomal recessive	610285	208150	4	mutation identified in 1 FADS family
LRPAP1|A2MRAP|MYP23	LRPAP1|LRPAP1|NA	LRPAP1	Myopia 23, autosomal recessive	Autosomal recessive	104225	615431	4	NA
ADRA2C|ADRA2L2	ADRA2C|ADRA2C	ADRA2C	Congestive heart failure and beta-blocker response, modifier of	None	104250	NA	4	linked to D4S10
OTOP1	OTOP1	OTOP1	NA	NA	607806	NA	4	NA
ZBTB49|ZNF509	ZBTB49|ZBTB49	ZBTB49	NA	NA	616238	NA	4	NA
D4S234E|D4S234	NA|NA	NA	NA	NA	607645	NA	4	NA
