phenotype	phenotypeInheritance	phenotypeMimNumber	chromosome	gene	geneMimNumber	comments
NA	NA	NA	5	CEP72,KIAA1519	616475	NA
NA	NA	NA	5	TPPP,P25,P24	608773	NA
NA	NA	NA	5	TRIP13,16E1BP	604507	NA
NA	NA	NA	5	NKD2	607852	NA
NA	NA	NA	5	SLC12A7,KCC4	604879	NA
Iminoglycinuria, digenic	Autosomal recessive	242600	5	SLC6A19,HND	608893	NA
Hyperglycinuria	Autosomal dominant	138500	5	SLC6A19,HND	608893	NA
Hartnup disorder	Autosomal recessive	234500	5	SLC6A19,HND	608893	NA
NA	NA	NA	5	SLC6A18,XTRP2	610300	NA
Dyskeratosis congenita, autosomal recessive 4	Autosomal recessive; Autosomal dominant	613989	5	TERT,TCS1,EST2,DKCA2,DKCB4,PFBMFT1,CMM9	187270	deleted in cri du chat
Dyskeratosis congenita, autosomal dominant 2	Autosomal recessive; Autosomal dominant	613989	5	TERT,TCS1,EST2,DKCA2,DKCB4,PFBMFT1,CMM9	187270	deleted in cri du chat
Pulmonary fibrosis and/or bone marrow failure, telomere-related, 1	Autosomal dominant	614742	5	TERT,TCS1,EST2,DKCA2,DKCB4,PFBMFT1,CMM9	187270	deleted in cri du chat
Melanoma, cutaneous malignant, 9	None	615134	5	TERT,TCS1,EST2,DKCA2,DKCB4,PFBMFT1,CMM9	187270	deleted in cri du chat
Leukemia, acute myeloid	Autosomal dominant	601626	5	TERT,TCS1,EST2,DKCA2,DKCB4,PFBMFT1,CMM9	187270	deleted in cri du chat
NA	NA	NA	5	CLPTM1L,CRR9	612585	NA
Nicotine dependence, protection against	None	188890	5	SLC6A3,DAT1,PKDYS	126455	NA
Parkinsonism-dystonia, infantile	Autosomal recessive	613135	5	SLC6A3,DAT1,PKDYS	126455	NA
NA	NA	NA	5	AYTL2,LPCAT,LPCAT1	610472	NA
NA	NA	NA	5	MRPL36	611842	NA
Mitochondrial complex I deficiency	Autosomal recessive; Mitochondrial; X-linked dominant	252010	5	NDUFS6	603848	NA
NA	NA	NA	5	IRX4	606199	NA
NA	NA	NA	5	IRX2	606198	NA
NA	NA	NA	5	CEI	610522	NA
NA	NA	NA	5	IRX1	606197	NA
NA	NA	NA	5	ADAMTS16	607510	NA
Epilepsy, myoclonic, familial adult, 3	Autosomal dominant	613608	5	FAME3,FCMTE3	613608	between D5S580 and D5S2096
NA	NA	NA	5	MED10,NUT2	612382	NA
NA	NA	NA	5	UBE2QL1	615832	NA
NA	NA	NA	5	LINC01018,SRHC	616385	NA
Mental retardation, autosomal recessive 5	Autosomal recessive	611091	5	NSUN2,TRM4,SAKI,MISU,MRT5	610916	NA
NA	NA	NA	5	SRD5A1	184753	pseudogene on X
NA	NA	NA	5	POLS,TRF4,POLK	605198	NA
NA	NA	NA	5	ADCY2	103071	NA
Neural tube defects, folate-sensitive, susceptibility to	Autosomal recessive	601634	5	MTRR	602568	NA
Homocystinuria-megaloblastic anemia, cbl E type	Autosomal recessive	236270	5	MTRR	602568	NA
NA	NA	NA	5	SEMA5A,SEMF	609297	NA
NA	NA	NA	5	TRB7,T2R1	604796	NA
Adiponectin, serum level of, QTL2	None	606770	5	ADIPQTL2,CAQ5	606770	near D5S817
Aneurysm, intracranial berry, 4	None	610213	5	ANIB4	610213	max lod at D5S1954
Neuropathy, hereditary sensory, with spastic paraplegia	Autosomal recessive	256840	5	CCT5,KIAA0098,CCTE	610150	NA
NA	NA	NA	5	CMBL	613379	NA
NA	NA	NA	5	MARCH6,TEB4,DOA10,KIAA0597	613297	NA
NA	NA	NA	5	ROPN1L,ASP	611756	NA
NA	NA	NA	5	DAP	600954	NA
NA	NA	NA	5	CTNND2,NPRAP	604275	NA
Ciliary dyskinesia, primary, 3, with or without situs inversus	None	608644	5	DNAH5,HL1,PCD,CILD3	603335	NA
NA	NA	NA	5	TRIO	601893	NA
NA	NA	NA	5	OTULIN,FAM105B,GUM	615712	NA
Craniometaphyseal dysplasia	Autosomal dominant	123000	5	ANKH,HANK,ANK,CMDJ,CCAL2,CPPDD	605145	NA
Chondrocalcinosis 2	Autosomal dominant	118600	5	ANKH,HANK,ANK,CMDJ,CCAL2,CPPDD	605145	NA
Myopia 19	Autosomal dominant	613969	5	MYP19	613969	highest lod at D5S419
Periventricular nodular heterotopia 3	None	608098	5	PVNH3	608098	NA
NA	NA	NA	5	FBXL7,FBL7	605656	NA
NA	NA	NA	5	MARCH11	613338	NA
Neuropathy, hereditary sensory and autonomic, type IIB	Autosomal recessive	613115	5	FAM134B,HSAN2B	613114	NA
NA	NA	NA	5	MYO10	601481	NA
NA	NA	NA	5	BASP1,CAP23,NAP22	605940	NA
NA	NA	NA	5	MLVI2	157960	NA
NA	NA	NA	5	CDH18,CDH14	603019	NA
NA	NA	NA	5	CDH12,CDHB	600562	pseudogene on 5q13 in SMA region
NA	NA	NA	5	PMCHL1	176793	NA
NA	NA	NA	5	PRDM9	609760	NA
NA	NA	NA	5	CDH10	604555	NA
NA	NA	NA	5	CDH9	609974	NA
Attention deficit-hyperactivity disorder	Autosomal dominant	143465	5	ADHD4	608906	NA
Brachydactyly, type A1, B	Autosomal dominant	607004	5	BDA1B	607004	NA
Chromosome 5p13 duplication syndrome	Isolated cases	613174	5	DUP5p13,C5DUPp13	613174	NA
Hypertension, essential, susceptibility to, 6	Multifactorial	145500	5	HYT6	610262	NA
Kyphoscoliosis 1	None	610170	5	KYPSC1	610170	NA
NA	NA	NA	5	CDH6	603007	NA
NA	NA	NA	5	RNASEN,DROSHA,RANSE3L,RN3	608828	NA
NA	NA	NA	5	PDZD2,PAPIN,PIN1,AIPC	610697	NA
NA	NA	NA	5	GOLPH3,GPP34,MIDAS	612207	NA
NA	NA	NA	5	MTMR12,3PAP,KIAA1682	606501	NA
NA	NA	NA	5	ZFR	615635	NA
NA	NA	NA	5	SUB1,PC4,p15	600503	NA
?Hypertension, salt-resistant	None	NA	5	NPR3,ANPRC	108962	NA
NA	NA	NA	5	TARS	187790	linked to LARS
NA	NA	NA	5	ADAMTS12	606184	NA
Multiple sclerosis, susceptibility to, 3	None	612595	5	MS3	612595	associated with rs6897932
NA	NA	NA	5	RLN3R1,SALPR,GPCR135	609445	NA
Skin/hair/eye pigmentation 5, dark/light eyes	Autosomal recessive	227240	5	SLC45A2,MATP,AIM1,SHEP5,OCA4	606202	NA
Skin/hair/eye pigmentation 5, dark/fair skin	Autosomal recessive	227240	5	SLC45A2,MATP,AIM1,SHEP5,OCA4	606202	NA
Skin/hair/eye pigmentation 5, black/nonblack hair	Autosomal recessive	227240	5	SLC45A2,MATP,AIM1,SHEP5,OCA4	606202	NA
Albinism, oculocutaneous, type IV	None	606574	5	SLC45A2,MATP,AIM1,SHEP5,OCA4	606202	NA
Bile acid synthesis defect, congenital, 4	Autosomal recessive	214950	5	AMACR,CBAS4,AMACRD	604489	NA
Alpha-methylacyl-CoA racemase deficiency	Autosomal recessive	614307	5	AMACR,CBAS4,AMACRD	604489	NA
NA	NA	NA	5	C1ATNF3,CTRP3,CORS26	612045	NA
NA	NA	NA	5	RAI14,KIAA1334	606586	NA
NA	NA	NA	5	TTC23L	616344	NA
NA	NA	NA	5	RAD1	603153	NA
NA	NA	NA	5	AGXT2,AGT2	612471	NA
Multiple fibroadenomas of the breast	Autosomal dominant	615554	5	PRLR,MFAB,HPRL	176761	mutation identified in 1 family with HPRL
?Hyperprolactinemia	Autosomal dominant	615555	5	PRLR,MFAB,HPRL	176761	mutation identified in 1 family with HPRL
NA	NA	NA	5	SPEF2,KPL2,KIAA1770	610172	NA
Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type	Autosomal recessive	608971	5	IL7R,IL7RA,CD127	146661	NA
NA	NA	NA	5	UGT3A1	616383	NA
NA	NA	NA	5	UGT3A2	616384	NA
NA	NA	NA	5	SKP2	601436	NA
?2,4-dienoyl-CoA reductase deficiency	Autosomal recessive	616034	5	NADK2,C5orf33,DECRD	615787	mutation identified in 1 DECRD family
NA	NA	NA	5	RANBP3L	616391	NA
Episodic ataxia, type 6	None	612656	5	SLC1A3,EAAT1,EA6	600111	NA
Cornelia de Lange syndrome 1	Autosomal dominant	122470	5	NIPBL,CDLS1	608667	NA
Orofaciodigital syndrome VI	Autosomal recessive	277170	5	C5orf42,JBTS17,OFD6	614571	NA
Joubert syndrome 17	Autosomal recessive	614615	5	C5orf42,JBTS17,OFD6	614571	NA
?Atrial fibrillation 15	Autosomal recessive	615770	5	NUP155,KIAA0791,ATFB15	606694	mutation identified in 1 ATFB15 family
Hirschsprung disease, susceptibility to, 3	None	613711	5	GDNF,HSCR3	600837	NA
Central hypoventilation syndrome	Autosomal dominant	209880	5	GDNF,HSCR3	600837	NA
Pheochromocytoma, modifier of	Autosomal dominant	171300	5	GDNF,HSCR3	600837	NA
Inflammatory bowel disease 18	None	612262	5	IBD18	612262	associated with rs1373692
Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome	Autosomal recessive	601559	5	LIFR,STWS,SWS,SJS2	151443	NA
Amyloidosis, primary localized cutaneous, 1	Autosomal dominant	105250	5	OSMR,OSMRB,PLCA1	601743	NA
NA	NA	NA	5	FYB,SLAP130,ADAP	602731	NA
Macular degeneration, age-related, 15, susceptibility to	None	615591	5	C9,C9D,ARMD15	120940	NA
C9 deficiency	None	613825	5	C9,C9D,ARMD15	120940	NA
NA	NA	NA	5	DAB2,DOC2	601236	NA
NA	NA	NA	5	PTGER4	601586	NA
NA	NA	NA	5	PRKAA1	602739	NA
NA	NA	NA	5	RPL37	604181	NA
NA	NA	NA	5	CARD6,CINCIN1	609986	NA
C7 deficiency	None	610102	5	C7	217070	NA
C6 deficiency	None	612446	5	C6	217050	NA
Combined C6/C7 deficiency	None	NA	5	C6	217050	NA
Succinyl CoA:3-oxoacid CoA transferase deficiency	None	245050	5	OXCT1,OXCT,SCOT	601424	NA
NA	NA	NA	5	FBXO4,FBX4	609090	NA
Hypercholesterolemia, familial, modifier of	Autosomal dominant	143890	5	GHR,GHIP	600946	NA
Laron dwarfism	Autosomal recessive	262500	5	GHR,GHIP	600946	NA
Increased responsiveness to growth hormone	None	NA	5	GHR,GHIP	600946	NA
Growth hormone insensitivity, partial	None	604271	5	GHR,GHIP	600946	NA
NA	NA	NA	5	SEPP1	601484	NA
NA	NA	NA	5	ANXA2R,C5orf39,AX2R,AXIIR	611296	NA
NA	NA	NA	5	ZNF131	604073	NA
NA	NA	NA	5	HMGCS1	142940	like HMGCR, regulated transcriptionally by steroid
NA	NA	NA	5	CCL28	605240	NA
NA	NA	NA	5	PAIP1	605184	NA
Glucocorticoid deficiency 4	Autosomal recessive	614736	5	NNT,GCCD4	607878	NA
LADD syndrome	Autosomal dominant	149730	5	FGF10	602115	NA
Aplasia of lacrimal and salivary glands	Autosomal dominant	180920	5	FGF10	602115	NA
NA	NA	NA	5	MRPS30	611991	NA
Epileptic encephalopathy, early infantile, 24	Autosomal dominant	615871	5	HCN1,BCNG1,EIEE24	602780	NA
Bone size QTL	None	609657	5	BSZQTL2	609657	NA
NA	NA	NA	5	EMB,GP70	615669	NA
NA	NA	NA	5	ISL1	600366	between D5S395 and D5S407; proximal 5q
NA	NA	NA	5	PELO	605757	NA
NA	NA	NA	5	ITGA1,VLA1	192968	NA
?Glycoprotein Ia deficiency	Autosomal dominant	614200	5	ITGA2,CD49B,BR,BDPLT9	192974	NA
Molybdenum cofactor deficiency B	Autosomal recessive	252160	5	MOCS2,MPTS,MOCODB	603708	NA
NA	NA	NA	5	FST,FS	136470	NA
Mitochondrial complex I deficiency	Autosomal recessive; Mitochondrial; X-linked dominant	252010	5	NDUFS4,AQDQ	602694	NA
Leigh syndrome	Autosomal recessive; Mitochondrial	256000	5	NDUFS4,AQDQ	602694	NA
?Neuronopathy, distal hereditary motor, type IIC	Autosomal dominant	613376	5	HSPB3,HSPL27,HMN2C,DHMN2C	604624	mutation identified in 1 HMN2C family
NA	NA	NA	5	ESM1	601521	NA
NA	NA	NA	5	GZMA,CTLA3,HFSP	140050	NA
NA	NA	NA	5	MIR449A,MIRN449A	613131	NA
NA	NA	NA	5	MIR449B,MIRN449B	613132	NA
NA	NA	NA	5	IDAS	614086	NA
Ciliary dyskinesia, primary, 29	Autosomal recessive	615872	5	CCNO,UNG2,CILD29	607752	NA
NA	NA	NA	5	DHX29	612720	NA
NA	NA	NA	5	SLC38A9,URLC11	616203	NA
NA	NA	NA	5	DDX4,VASA	605281	NA
Amyloidosis, primary localized cutaneous, 2	None	613955	5	IL31RA,GLMR,GPL,PLCA2	609510	NA
NA	NA	NA	5	IL6ST	600694	NA
NA	NA	NA	5	ANKRD55	615189	NA
46XY sex reversal 6	Autosomal dominant	613762	5	MAP3K1,MEKK1,MEKK,SRXY6	600982	NA
NA	NA	NA	5	GPBP1,GPBP	608412	NA
NA	NA	NA	5	ACTBL2	614835	NA
NA	NA	NA	5	PLK2,SNK	607023	NA
NA	NA	NA	5	RAB3C	612829	NA
Stroke, susceptibility to, 1	None	606799	5	PDE4D,DPDE3,STRK1,ACRDYS2	600129	NA
Acrodysostosis 2, with or without hormone resistance	Autosomal dominant	614613	5	PDE4D,DPDE3,STRK1,ACRDYS2	600129	NA
Chromosome 5q12 deletion syndrome	Autosomal dominant	615668	5	DEL5q12,C5DELq12	615668	NA
Myoclonic epilepsy, juvenile, 4	Autosomal dominant	611364	5	EJM4	611364	max lod at D5S459
NA	NA	NA	5	PART1	604991	NA
NA	NA	NA	5	DEPDC1B	616073	NA
NA	NA	NA	5	ELOVL7	614451	NA
UV-sensitive syndrome 2	Autosomal recessive	614621	5	ERCC8,CKN1,CSA,UVSS2	609412	NA
Cockayne syndrome, type A	Autosomal recessive	216400	5	ERCC8,CKN1,CSA,UVSS2	609412	NA
Mitochondrial complex I deficiency	Autosomal recessive; Mitochondrial; X-linked dominant	252010	5	NDUFAF2,NDUFA12L,MMTN,B17.2L	609653	pseudogene on chr.2
Leigh syndrome	Autosomal recessive; Mitochondrial	256000	5	NDUFAF2,NDUFA12L,MMTN,B17.2L	609653	pseudogene on chr.2
Acromelic frontonasal dysostosis	Autosomal dominant	603671	5	ZSWIM6,KIAA1577,AFND	615951	NA
Cortical dysplasia, complex, with other brain malformations 3	Autosomal dominant	615411	5	KIF2A,CDCBM3	602591	NA
NA	NA	NA	5	DIMT1L,DIM1,HUSSY5	612499	previously assigned to 8p12
NA	NA	NA	5	IPO11,RANBP11,SLRN	610889	NA
Periodic fever, menstrual cycle dependent	Autosomal dominant	614674	5	HTR1A,ADRB2RL1,PFMCD	109760	NA
NA	NA	NA	5	RNF180,RINES	616015	NA
NA	NA	NA	5	RGS7BP,R7BP	610890	NA
NA	NA	NA	5	ADAMTS6	605008	NA
NA	NA	NA	5	CEMPK,SOLT	611502	NA
NA	NA	NA	5	TRIM23,ARD1	601747	NA
NA	NA	NA	5	NLN,KIAA1226,AGTBP	611530	NA
NA	NA	NA	5	ERBB2IP,ERBIN	606944	NA
NA	NA	NA	5	SREK1,SFRS12,SRRp508	609268	NA
NA	NA	NA	5	CD180,LY64,RP105	602226	NA
Aortic aneurysm, familial thoracic 2	None	607087	5	AAT2,FAA2	607087	NA
Fibromatosis, gingival, 2	None	605544	5	GINGF2,GGF2,HGF2	605544	formerly GINGF2 used for a locus on 2p16-p13
Thyroid-stimulating hormone level QTL 1	None	612306	5	TSHQTL1	612306	associated with rs4704397
SHORT syndrome	Autosomal dominant	269880	5	PIK3R1,GRB1,AGM7,SHORT,IMD36	171833	mutation identified in 1 AGM7 family
Immunodeficiency 36	Autosomal dominant	616005	5	PIK3R1,GRB1,AGM7,SHORT,IMD36	171833	mutation identified in 1 AGM7 family
?Agammaglobulinemia 7, autosomal recessive	Autosomal recessive	615214	5	PIK3R1,GRB1,AGM7,SHORT,IMD36	171833	mutation identified in 1 AGM7 family
NA	NA	NA	5	SLC30A5,ZNT5,ZTL1	607819	NA
NA	NA	NA	5	CCNB1	123836	NA
NA	NA	NA	5	CENPH	605607	NA
NA	NA	NA	5	MRPS36	611996	6 pseudogenes
NA	NA	NA	5	CDK7,STK1,CAK1	601955	previously mapped to 2p15-cen
NA	NA	NA	5	CCDC125,KENAE	613781	NA
NA	NA	NA	5	TAF9,TAF2G,TAFII32	600822	NA
NA	NA	NA	5	RAD17	603139	NA
Deafness, autosomal recessive 49	Autosomal recessive	610153	5	MARVELD2,MARVD2,TRIC,DFNB49	610572	NA
Band-like calcification with simplified gyration and polymicrogyria	Autosomal recessive	251290	5	OCLN,BLCPMG	602876	NA
Spinal muscular atrophy, type III, modifier of	Autosomal recessive	253400	5	SMN2	601627	NA
NA	NA	NA	5	SERF1A,H4F5,SMAM1	603011	NA
Spinal muscular atrophy-1	Autosomal recessive	253300	5	SMN1,SMA1,SMA2,SMA3,SMA4	600354	NA
Spinal muscular atrophy-4	Autosomal recessive	271150	5	SMN1,SMA1,SMA2,SMA3,SMA4	600354	NA
Spinal muscular atrophy-3	Autosomal recessive	253400	5	SMN1,SMA1,SMA2,SMA3,SMA4	600354	NA
Spinal muscular atrophy-2	Autosomal recessive	253550	5	SMN1,SMA1,SMA2,SMA3,SMA4	600354	NA
NA	NA	NA	5	BIRC1,NAIP	600355	?involved in SMA
NA	NA	NA	5	GTF2H2	601748	2 copies
NA	NA	NA	5	PMCHL2	176794	NA
NA	NA	NA	5	BDP1,TFNR	607012	NA
3-Methylcrotonyl-CoA carboxylase 2 deficiency	Autosomal recessive	210210	5	MCCC2,MCCB	609014	NA
?Obesity, susceptibility to	Multifactorial; Autosomal recessive; Autosomal dominant	601665	5	CARTPT,CART	602606	mutation identified in 1 family
NA	NA	NA	5	MAP1B	157129	NA
NA	NA	NA	5	MRPS27,KIAA0264	611989	NA
NA	NA	NA	5	PTCD2	615484	NA
NA	NA	NA	5	ZNF366,DCSCRIPT	610159	NA
NA	NA	NA	5	TNPO1,KPNB2,MIP1	602901	NA
NA	NA	NA	5	FCHO2	613438	NA
NA	NA	NA	5	TMEM174	614909	NA
NA	NA	NA	5	FOXD1,FKHL8	601091	NA
NA	NA	NA	5	ANKRA2,ANKRA	605787	NA
NA	NA	NA	5	UTP15	616194	NA
NA	NA	NA	5	RGNEF,p190RHOGEF	612790	NA
NA	NA	NA	5	ENC1,PIG10	605173	NA
Sandhoff disease, infantile, juvenile, and adult forms	Autosomal recessive	268800	5	HEXB	606873	NA
NA	NA	NA	5	EFG2	606544	NA
NA	NA	NA	5	TINP1,NSA2,HUSSY29	612497	NA
NA	NA	NA	5	FAM169A,SLAP75,KIAA0888	615769	NA
Statins, attenuated cholesterol lowering by	None	NA	5	HMGCR,LDLCQ3	142910	NA
Low density lipoprotein cholesterol level QTL 3	None	NA	5	HMGCR,LDLCQ3	142910	NA
Mental retardation, autosomal dominant 34	None	616351	5	COL4A3BP,GPBP,CERT,MRD34	604677	NA
NA	NA	NA	5	POLK,POLQ,DINB1	605650	NA
NA	NA	NA	5	SV2C	610291	NA
NA	NA	NA	5	IQGAP2	605401	NA
NA	NA	NA	5	F2RL2,PAR3	601919	order: PAR2-PAR1-PAR3
NA	NA	NA	5	F2R,CF2R,PAR1	187930	within 900kb of GPR11
NA	NA	NA	5	F2RL1,GPR11,PAR2	600933	within 900kb of F2R
NA	NA	NA	5	S100Z	610103	NA
NA	NA	NA	5	CRHBP	122559	NA
NA	NA	NA	5	AGGF1,VG5Q,HUS84971,FLJ10283	608464	NA
NA	NA	NA	5	ZBED3	615250	NA
Striatal degeneration, autosomal dominant	Autosomal dominant	609161	5	PDE8B,PPNAD3,ADSD	603390	NA
Pigmented nodular adrenocortical disease, primary, 3	None	614190	5	PDE8B,PPNAD3,ADSD	603390	NA
Telangiectasia, hereditary benign	Autosomal dominant	187260	5	HBT	187260	max lod at D5S641
Keratoconus 5	Autosomal dominant	614622	5	KTCN5	614622	between D5S2499 and D5S495
NA	NA	NA	5	OTP	604529	NA
NA	NA	NA	5	TBCA	610058	NA
Hermansky-Pudlak syndrome 2	Autosomal recessive	608233	5	AP3B1,ADTB3A,HPS2	603401	NA
NA	NA	NA	5	SCAMP1,SCAMP37	606911	NA
NA	NA	NA	5	LHFPL2,KIAA0206	609718	NA
Mucopolysaccharidosis type VI (Maroteaux-Lamy)	Autosomal recessive	253200	5	ARSB,MPS6	611542	NA
Dimethylglycine dehydrogenase deficiency	Autosomal recessive	605850	5	DMGDH,DMGDHD	605849	NA
NA	NA	NA	5	BHMT2	605932	NA
NA	NA	NA	5	BHMT	602888	NA
NA	NA	NA	5	JMY	604279	NA
NA	NA	NA	5	HOMER1,HOMER1B,HOMER1C,HOMER1A	604798	NA
NA	NA	NA	5	PAPD4,GLD2	614121	NA
NA	NA	NA	5	CMYA5,MYOSPRYN,TRIM76	612193	NA
NA	NA	NA	5	SERINC5,C5orf12,TPO1	614551	NA
NA	NA	NA	5	ZFYVE16,ENDOFIN,KIAA0305	608880	NA
Megaloblastic anemia due to dihydrofolate reductase deficiency	Autosomal recessive	613839	5	DHFR	126060	NA
Endometrial carcinoma, somatic	None	608089	5	MSH3	600887	5' to DHFR
NA	NA	NA	5	RASGRF2	606614	NA
NA	NA	NA	5	CKMT2	123295	NA
NA	NA	NA	5	ACOT12,CACH	614315	NA
NA	NA	NA	5	SSBP2	607389	NA
NA	NA	NA	5	ATG10,APG10	610800	NA
Vesicoureteral reflux 4	None	614317	5	VUR4	614317	closest marker rs1501656
NA	NA	NA	5	RPS23	603683	NA
Short stature, microcephaly, and endocrine dysfunction	Autosomal recessive	616541	5	XRCC4,SSMED	194363	between D5S427 and D5S401
Wagner syndrome 1	Autosomal dominant	143200	5	VCAN,CSPG2,WGN,WGN1,ERVR	118661	NA
Periventricular nodular heterotopia 5	None	612881	5	PVNH5	612881	deletion range 6.3-17Mb, common range 5.8Mb
NA	NA	NA	5	HAPLN1,CRTL1	115435	NA
NA	NA	NA	5	COX7C	603774	pseudogene on 13q14-q21
Parkes Weber syndrome	None	608355	5	RASA1,GAP,CMAVM,PKWS	139150	NA
Capillary malformation-arteriovenous malformation	Autosomal dominant	608354	5	RASA1,GAP,CMAVM,PKWS	139150	NA
Basal cell carcinoma, somatic	None	605462	5	RASA1,GAP,CMAVM,PKWS	139150	NA
NA	NA	NA	5	CCNH,CAK	601953	NA
NA	NA	NA	5	LINC00461,VISC	616611	NA
NA	NA	NA	5	MIR9-2,MIRN9-2	611187	NA
Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations	Isolated cases	613443	5	MEF2C,C5DELq14.3,DEL5q14.3	600662	NA
Chromosome 5q14.3 deletion syndrome	Isolated cases	613443	5	MEF2C,C5DELq14.3,DEL5q14.3	600662	NA
NA	NA	NA	5	CETN3,CDC31	602907	NA
Usher syndrome, type 2C, GPR98/PDZD7 digenic	Autosomal recessive; Digenic dominant	605472	5	ADGRV1,GPR98,MASS1,VLGR1,KIAA0686,FEB4,USH2C	602851	mutation identified in 1 FEB4 family
Usher syndrome, type 2C	Autosomal recessive; Digenic dominant	605472	5	ADGRV1,GPR98,MASS1,VLGR1,KIAA0686,FEB4,USH2C	602851	mutation identified in 1 FEB4 family
?Febrile seizures, familial, 4	Autosomal dominant	604352	5	ADGRV1,GPR98,MASS1,VLGR1,KIAA0686,FEB4,USH2C	602851	mutation identified in 1 FEB4 family
NA	NA	NA	5	ARRDC3,TLIMP,KIAA1376	612464	NA
Bosch-Boonstra-Schaaf optic atrophy syndrome	Autosomal dominant	615722	5	NR2F1,TFCOUP1,ERBAL3,EAR3,BBSOAS	132890	NA
NA	NA	NA	5	MCTP1	616296	NA
Trichohepatoenteric syndrome 1	Autosomal recessive	222470	5	TTC37,KIAA0372	614589	NA
NA	NA	NA	5	ARSK	610011	NA
NA	NA	NA	5	RHOBTB3,KIAA0878	607353	NA
NA	NA	NA	5	GLRX,GRX	600443	NA
NA	NA	NA	5	ELL2	601874	NA
Obesity, susceptibility to, BMIQ12	None	612362	5	PCSK1,NEC1,PC1,PC3,BMIQ12	162150	NA
Obesity with impaired prohormone processing	Isolated cases	600955	5	PCSK1,NEC1,PC1,PC3,BMIQ12	162150	NA
Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads	Autosomal recessive	616295	5	CAST,PLACK	114090	NA
NA	NA	NA	5	ERAP1,ALAP,ARTS1,PILSAP,KIAA0525	606832	NA
NA	NA	NA	5	ERAP2,LRAP	609497	NA
NA	NA	NA	5	LNPEP	151300	NA
NA	NA	NA	5	LIX1	610466	NA
NA	NA	NA	5	RGMB,DRAGON	612687	NA
NA	NA	NA	5	CHD1	602118	NA
Migraine, susceptibility to, 8	None	609570	5	MGR8	609570	NA
NA	NA	NA	5	PST,PST1	602547	NA
NA	NA	NA	5	SLCO4C1,OATP4C1	609013	NA
NA	NA	NA	5	SLCO6A1,GST	613365	NA
NA	NA	NA	5	PAM	170270	NA
NA	NA	NA	5	HISPPD1,PPIP5K2,VIP2,KIAA0433	611648	NA
NA	NA	NA	5	C5orf30	616608	NA
Macular dystrophy, butterfly-shaped pigmentary, 2	None	608970	5	MDBS2	608970	between D5S433 and D5S410
NA	NA	NA	5	FBXL17,FBL17,FBX13,FBXO13	609083	NA
NA	NA	NA	5	RPS20A	180463	?pseudogene
NA	NA	NA	5	FER,TYK3	176942	NA
NA	NA	NA	5	MAN2A1,MANA2	154582	NA
Esophagitis, eosinophilic, 2	Multifactorial	613412	5	EOE2	613412	association with rs3806932
Glaucoma 1, open angle, M	Autosomal dominant	610535	5	GLC1M	610535	between D5S2051 and D5S2090
Neuropathy, hereditary motor and sensory, type VIB	Autosomal recessive	616505	5	SLC25A46,HMSN6B	610826	NA
NA	NA	NA	5	TSLP	607003	NA
Glaucoma 1, open angle, G	None	609887	5	WDR36,TAWDRP,GLC1G	609669	NA
NA	NA	NA	5	CAMK4	114080	NA
NA	NA	NA	5	STARD4	607049	NA
NA	NA	NA	5	C5orf13,P311,PTZ17	607332	NA
NA	NA	NA	5	EPB41L4A,EPB41L4,NBL4	612141	NA
Adenoma, periampullary, somatic	None	NA	5	APC,GS,FPC,BTPS2	611731	150kb distal to MCC
Gardner syndrome	Autosomal dominant	175100	5	APC,GS,FPC,BTPS2	611731	150kb distal to MCC
Desmoid disease, hereditary	Autosomal dominant	135290	5	APC,GS,FPC,BTPS2	611731	150kb distal to MCC
Colorectal cancer, somatic	None	114500	5	APC,GS,FPC,BTPS2	611731	150kb distal to MCC
Brain tumor-polyposis syndrome 2	Autosomal dominant	175100	5	APC,GS,FPC,BTPS2	611731	150kb distal to MCC
Hepatoblastoma, somatic	None	114550	5	APC,GS,FPC,BTPS2	611731	150kb distal to MCC
Adenomatous polyposis coli	Autosomal dominant	175100	5	APC,GS,FPC,BTPS2	611731	150kb distal to MCC
Gastric cancer, somatic	None	613659	5	APC,GS,FPC,BTPS2	611731	150kb distal to MCC
NA	NA	NA	5	SRP19	182175	within 100kb of APC
NA	NA	NA	5	REEP5,D5S346,DP1,C5orf18	125265	NA
NA	NA	NA	5	ZRSR1,U2AF1RS1	601079	NA
NA	NA	NA	5	DCP2	609844	NA
Colorectal cancer, somatic	None	114500	5	MCC	159350	NA
NA	NA	NA	5	TSSK1,STK22D	610709	pseudogene on chr22
NA	NA	NA	5	YTHDC2,CAHL	616530	NA
NA	NA	NA	5	KCNN2,SK2	605879	NA
NA	NA	NA	5	TRIM36,RBCC728	609317	NA
NA	NA	NA	5	PGGT1B	602031	NA
NA	NA	NA	5	TIRP,TRAM	608321	NA
NA	NA	NA	5	CDO1	603943	NA
NA	NA	NA	5	AP3S1,CLAPS3	601507	previously assigned to chr. 12 by FISH
Schizophrenia	Autosomal dominant	181500	5	SCZD1	181510	NA
NA	NA	NA	5	LVRN	610046	NA
NA	NA	NA	5	COMMD10	616704	NA
NA	NA	NA	5	SEMA6A	605885	NA
