phenotype	phenotypeInheritance	phenotypeMimNumber	chromosome	gene	geneMimNumber	comments
NA	NA	NA	3	MCM7,MCM2	116945	NA
NA	NA	NA	3	EG,PODXL2	616627	NA
NA	NA	NA	3	ABTB1	608308	NA
NA	NA	NA	3	MGLL,HUK5	609699	NA
NA	NA	NA	3	RUVBL1	603449	NA
NA	NA	NA	3	EEFSEC	607695	NA
NA	NA	NA	3	DNAJB8,DJ6	611337	NA
Leukemia, acute myeloid, susceptibility to	Autosomal dominant	601626	3	DCML,MONOMAC,GATA2,IMD21	137295	NA
Immunodeficiency 21	Autosomal dominant	614172	3	DCML,MONOMAC,GATA2,IMD21	137295	NA
Emberger syndrome	Autosomal dominant	614038	3	DCML,MONOMAC,GATA2,IMD21	137295	NA
Myelodysplastic syndrome, susceptibility to	None	614286	3	DCML,MONOMAC,GATA2,IMD21	137295	NA
NA	NA	NA	3	RPN1	180470	NA
Charcot-Marie-Tooth disease, type 2B	Autosomal dominant	600882	3	CMT2B,RAB7A,PSN	602298	NA
Mitochondrial complex I deficiency due to ACAD9 deficiency	Autosomal recessive	611126	3	ACAD9	611103	NA
Bernard-Soulier syndrome, type C	Autosomal recessive	231200	3	GP9	173515	NA
NA	NA	NA	3	RAB43,ISY1	612764	NA
Myotonic dystrophy 2	Autosomal dominant	602668	3	CNBP,PROMM	116955	NA
NA	NA	NA	3	COPG1	615525	NA
NA	NA	NA	3	H1FX	602785	NA
NA	NA	NA	3	MBD4	603574	NA
Cranioectodermal dysplasia 1	Autosomal recessive	218330	3	IFT122,CED1	606045	NA
Alzheimer disease-15	None	611155	3	AD15	611155	max lod at D3S1579
Deafness, autosomal dominant 18	Autosomal dominant	606012	3	DFNA18	606012	NA
Dandy-Walker syndrome	Autosomal recessive	220200	3	DEL3q22q24,DWS,C3DELq22q24	220200	ZIC1 and ZIC4 good candidate genes
Otosclerosis 5	None	608787	3	OTSC5	608787	max lod at D3S1569
NA	NA	NA	3	PABPC1	173865	NA
Senior-Loken syndrome 3	Autosomal recessive	606995	3	NPHP3	606995	?allelic with NPHP3
Retinitis punctata albescens	Autosomal dominant	136880	3	RHO	180380	NA
Retinitis pigmentosa 4, autosomal dominant or recessive	Autosomal recessive; Autosomal dominant	613731	3	RHO	180380	NA
Night blindness, congenital stationary, autosomal dominant 1	None	610445	3	RHO	180380	NA
NA	NA	NA	3	PLXND1	604282	NA
NA	NA	NA	3	TMCC1	616242	NA
Thyrotropin-releasing hormone deficiency	Autosomal recessive	275120	3	TRH	613879	NA
NA	NA	NA	3	COL6A4P2	616612	NA
NA	NA	NA	3	COL6A5	611916	NA
NA	NA	NA	3	COL6A6	616613	NA
Hailey-Hailey disease	Autosomal dominant	169600	3	ATP2C1,HHD	604384	NA
NA	NA	NA	3	NEK11	609779	NA
Combined oxidative phosphorylation deficiency 9	Autosomal recessive	614582	3	MRPL3,COXPD9	607118	NA
NA	NA	NA	3	CPNE4	604208	NA
NA	NA	NA	3	ACPP	171790	NA
Parkinson disease 21	Autosomal dominant	616361	3	PARK21,DNAJC13	614334	NA
NA	NA	NA	3	ACAD11	614288	NA
NA	NA	NA	3	ACKR4	606065	NA
NA	NA	NA	3	UBA5	610552	NA
Renal-hepatic-pancreatic dysplasia 1	Autosomal recessive	208540	3	NPHP3,RHPD1	608002	NA
Nephronophthisis 3	Autosomal recessive	604387	3	NPHP3,RHPD1	608002	NA
Meckel syndrome 7	Autosomal recessive	267010	3	NPHP3,RHPD1	608002	NA
Cataract 12, multiple types	Autosomal dominant	611597	3	BFSP2,CTRCT12	603212	NA
NA	NA	NA	3	TOPBP1	607760	NA
Atransferrinemia	Autosomal recessive	209300	3	TF,TFQTL1	190000	NA
NA	NA	NA	3	RAB6B	615852	NA
Hypertrophic osteoarthropathy, primary, autosomal recessive 2	Autosomal recessive	614441	3	PHOAR2,SLCO2A1	601460	NA
NA	NA	NA	3	RYK	600524	NA
NA	NA	NA	3	KIAA0989,AMOTL2	614658	NA
NA	NA	NA	3	ANAPC13	614484	NA
?Seckel syndrome 6	Autosomal recessive	614728	3	CEP63,SCKL6	614724	mutation identified in 1 family
NA	NA	NA	3	KY	605739	NA
NA	NA	NA	3	ELK3,EPHB1	600600	NA
NA	NA	NA	3	PP2R3A,PR72,PR130	604944	NA
NA	NA	NA	3	MSL2	614802	NA
Propionicacidemia	Autosomal recessive	606054	3	PCCB	232050	pccB complementation group
NA	NA	NA	3	NCK1	600508	NA
NA	NA	NA	3	SOX14	604747	NA
NA	NA	NA	3	A4GNT	616709	NA
NA	NA	NA	3	DBR1	607024	NA
NA	NA	NA	3	MRAS	608435	NA
NA	NA	NA	3	ESYT3	616692	NA
NA	NA	NA	3	CEP70	614310	NA
NA	NA	NA	3	PIK3CB,PI3KCB	602925	NA
Premature ovarian failure 3	None	608996	3	FOXL2,POF3,PFRK	605597	NA
Blepharophimosis, epicanthus inversus, and ptosis, type 2	Autosomal dominant	110100	3	FOXL2,POF3,PFRK	605597	NA
Blepharophimosis, epicanthus inversus, and ptosis, type 1	Autosomal dominant	110100	3	FOXL2,POF3,PFRK	605597	NA
Stature QTL 10	None	612221	3	STQTL10	612221	associated with rs6440003
Combined oxidative phosphorylation deficiency 5	Autosomal recessive	611719	3	COXPD5,MRPS22	605810	NA
NA	NA	NA	3	COPB2	606990	NA
NA	NA	NA	3	RBP2,RIMBP2	180280	close to CRBP1
NA	NA	NA	3	ARID4A,RBP1	180260	close to CRBP2
NA	NA	NA	3	NMNAT3	608702	NA
NA	NA	NA	3	CLSTN2	611323	NA
NA	NA	NA	3	SLC25A36	616149	NA
NA	NA	NA	3	SSB4,SPSB4	611660	NA
NA	NA	NA	3	ZBTB38	612218	NA
NA	NA	NA	3	RASA2	601589	NA
NA	NA	NA	3	RNF7	603863	NA
NA	NA	NA	3	GRK7	606987	NA
NA	NA	NA	3	ATP1B3	601867	NA
NA	NA	NA	3	APC,TFDP2	602160	NA
NA	NA	NA	3	XRN1	607994	NA
Seckel syndrome 1	Autosomal recessive	210600	3	ATR,FCTCS,ANTXR1	601215	mutation identified in 1 FCTCS family
?Cutaneous telangiectasia and cancer syndrome, familial	Autosomal dominant	614564	3	ATR,FCTCS,ANTXR1	601215	mutation identified in 1 FCTCS family
NA	NA	NA	3	PLS1	602734	NA
NA	NA	NA	3	TRP-AGG2-3,TRPC1	602343	also called Htrp-1
NA	NA	NA	3	PCOLCE2	607064	NA
NA	NA	NA	3	PAQR9	614580	NA
High density lipoprotein cholesterol level QTL 5	None	610761	3	HDLCQ5	610761	max lod at D3S3053
Melanoma, uveal, susceptibility to, 1	None	606660	3	UVM1	606660	NA
NA	NA	NA	3	CHST2	603798	mapped by FISH to 7q31
?Autism susceptibility 16	None	613410	3	SLC9A9,AUTS16	608396	mutation identified in 1 family
NA	NA	NA	3	C3orf58	612200	NA
Bruck syndrome 2	Autosomal recessive	609220	3	PLOD2,TLH,BRKS2	601865	NA
NA	NA	NA	3	PLSCR4	607612	NA
NA	NA	NA	3	PLSCR2	607610	NA
NA	NA	NA	3	PLSCR1	604170	NA
NA	NA	NA	3	ZIC4	608948	NA
Craniosynostosis 6	Autosomal dominant	616602	3	CRS6,ZIC1	600470	NA
Hypertension, essential	Multifactorial	145500	3	AGTR1	106165	NA
Renal tubular dysgenesis	Autosomal recessive	267430	3	AGTR1	106165	NA
NA	NA	NA	3	PASP,CPB2,CPB1	114852	NA
NA	NA	NA	3	CPA4	114851	NA
Polyglucosan body myopathy 2	Autosomal recessive	616199	3	GSD15,GYG1	603942	mutation identified in 1 GSD15 patient
?Glycogen storage disease XV	Autosomal recessive	613507	3	GSD15,GYG1	603942	mutation identified in 1 GSD15 patient
NA	NA	NA	3	HLTF,HIP116	603257	NA
Hermansky-Pudlak syndrome 3	None	614072	3	HPS3	606118	NA
Cerebellar ataxia	Autosomal recessive	604290	3	CP	117700	~15cM from TF
Hypoceruloplasminemia, hereditary	Autosomal recessive	604290	3	CP	117700	~15cM from TF
Hemosiderosis, systemic, due to aceruloplasminemia	Autosomal recessive	604290	3	CP	117700	~15cM from TF
Asperger syndrome susceptibility 1	Multifactorial; Isolated cases	608638	3	ASPG1	608638	max lod with D3S3037
Autism susceptibility 8	Multifactorial; Isolated cases	607373	3	AUTS8	607373	NA
Celiac disease, susceptibility to, 10	None	612008	3	CELIAC10	612008	associated with rs17810546
Epilepsy, familial temporal lobe, 6	None	615697	3	ETL6	615697	between D3S1584 and D3S3520
NA	NA	NA	3	TAAL6,TM4SF1	191155	NA
NA	NA	NA	3	TM4SF4,ILTMP	606567	NA
NA	NA	NA	3	WWTR1	607392	NA
NA	NA	NA	3	COMMD2	616699	NA
NA	NA	NA	3	D3S1319E,PFN2,PFL	176590	mapped previously to chr.1
NA	NA	NA	3	C1ORF37DUP,TMEM183B	611365	NA
NA	NA	NA	3	EIF2S1	609234	NA
NA	NA	NA	3	SELT	607912	NA
NA	NA	NA	3	SIAH2	602213	NA
Usher syndrome, type 3A	Autosomal recessive	276902	3	CLRN1	606397	frequent in Finland; ?digenic interaction with MYO7A
Retinitis pigmentosa 61	None	614180	3	CLRN1	606397	frequent in Finland; ?digenic interaction with MYO7A
NA	NA	NA	3	NOPAR,MED12L	611318	NA
NA	NA	NA	3	P2RY14,BPR105	610116	NA
NA	NA	NA	3	GPR87	606379	NA
NA	NA	NA	3	P2RY13	606380	NA
Bleeding disorder, platelet-type, 8	Autosomal recessive	609821	3	BDPLT8,P2RY12	600515	NA
NA	NA	NA	3	AADAC	600338	NA
NA	NA	NA	3	SUCNR1	606381	NA
NA	NA	NA	3	MBNL1	606516	NA
NA	NA	NA	3	P2RY1	601167	NA
NA	NA	NA	3	RAP2B	179541	NA
NA	NA	NA	3	RHAU,G4R1,DHX36	612767	NA
Neutral endopeptidase deficiency	None	614692	3	MME,DDR1	120520	NA
Membranous glomerulonephritis, antenatal	None	614692	3	MME,DDR1	120520	NA
Birth weight QTL 2	None	613459	3	BWQTL2	613459	associated with rs900400
NA	NA	NA	3	PLCH1	612835	NA
Congenital cataracts, hearing loss, and neurodegeneration	Autosomal recessive	614482	3	AGTR1,CCHLND,SLC33A1	603690	NA
Spastic paraplegia 42, autosomal dominant	Autosomal dominant	612539	3	AGTR1,CCHLND,SLC33A1	603690	NA
NA	NA	NA	3	GMPS	600358	fusion gene with MLL in AML
NA	NA	NA	3	KCNAB1	601141	NA
NA	NA	NA	3	SSR3	606213	NA
NA	NA	NA	3	TIPARP	612480	NA
NA	NA	NA	3	LEKR1	613536	NA
NA	NA	NA	3	ANIA6A,MCM2	613384	NA
NA	NA	NA	3	VEPH1,MELT	609594	NA
NA	NA	NA	3	PTX3	602492	NA
NA	NA	NA	3	SHOX2	602504	NA
NA	NA	NA	3	RSRC1,SRRP53	613352	NA
Leukemia, acute myeloid	Autosomal dominant	601626	3	MLF1	601402	NA
Combined oxidative phosphorylation deficiency 1	Autosomal recessive	609060	3	GFM1,COXPD1,EFG1	606639	NA
NA	NA	NA	3	LXN,TCN1,ECI	609305	NA
NA	NA	NA	3	GPRC5A,RARRES1	605090	NA
NA	NA	NA	3	IQCJ	611622	NA
NA	NA	NA	3	IL12A	161560	NA
Short-rib thoracic dysplasia 2 with or without polydactyly	Autosomal recessive	611263	3	SRTD2,IFT80,ATD2	611177	NA
NA	NA	NA	3	CAPC	605575	NA
NA	NA	NA	3	IFT80L,TRIM59,MRF1	616148	NA
NA	NA	NA	3	KPNA4	602970	NA
NA	NA	NA	3	SCARNA7	615644	NA
NA	NA	NA	3	ARL14	614439	NA
NA	NA	NA	3	PPM1L	611931	NA
Alopecia, androgenetic, 1	Autosomal dominant	109200	3	MPB,AFA1	109200	NA
Myelodysplasia syndrome-1	None	NA	3	MECOM	600049	cen--EVI1--MDS1--EAP--tel
Goiter, multinodular, 3	None	606082	3	MNG3	606082	NA
Myopia 8	Multifactorial	609257	3	MYP8	609257	NA
Blood group, P1PK system, P(k) phenotype	None	111400	3	GLCT3,B3GALNT1	603094	NA
Blood group, globoside system	None	615021	3	GLCT3,B3GALNT1	603094	NA
NA	NA	NA	3	NMD3	611021	NA
NA	NA	NA	3	SSSPTB,SPTSSB	610412	NA
Sucrase-isomaltase deficiency, congenital	Autosomal recessive	222900	3	PMEL	609845	NA
NA	NA	NA	3	SLITRK3	609679	NA
Apnea, postanesthetic	None	NA	3	AATF,BCHE	177400	distal to CP, TF
NA	NA	NA	3	SERPIN12,SERPINI2	605587	NA
Cerebral cavernous malformations 3	None	603285	3	PDCD10	609118	NA
Encephalopathy, familial, with neuroserpin inclusion bodies	Autosomal dominant	604218	3	SERPINI1	602445	NA
Alopecia-mental retardation syndrome 2	Autosomal recessive	610422	3	APMR2	610422	between D3S1564 and D3S2427
Febrile seizures, familial, 10	None	612637	3	FEB10	612637	between D3S3656 and D3S1232
NA	NA	NA	3	GOLIM4	606805	NA
Radioulnar synostosis with amegakaryocytic thrombocytopenia 2	Autosomal dominant	616738	3	MECOM,RUSAT2	165215	NA
Pulmonary fibrosis, idiopathic, susceptibility to	Autosomal dominant	614743	3	PFBMFT2,F2R,TERC,DKCA1	602322	NA
Aplastic anemia	Autosomal dominant	614743	3	PFBMFT2,F2R,TERC,DKCA1	602322	NA
Dyskeratosis congenita, autosomal dominant 1	Autosomal dominant	127550	3	PFBMFT2,F2R,TERC,DKCA1	602322	NA
NA	NA	NA	3	ACTRT3	608534	NA
NA	NA	NA	3	MYNN	606042	NA
NA	NA	NA	3	TRV-AAC1-1	615310	NA
NA	NA	NA	3	SEC62	602173	NA
NA	NA	NA	3	PRKCI	600539	pseudogene on X
NA	NA	NA	3	SKIL	165340	NA
NA	NA	NA	3	CLDN11	601326	NA
Retinitis pigmentosa 68	Autosomal recessive	615725	3	SLC7A14,RP68	615720	NA
NA	NA	NA	3	EIF5A2	605782	NA
Diabetes mellitus, noninsulin-dependent	Autosomal dominant	125853	3	SLC2A2	138160	NA
Fanconi-Bickel syndrome	Autosomal recessive	227810	3	SLC2A2	138160	NA
NA	NA	NA	3	TNIK	610005	NA
Alopecia-mental retardation syndrome 1	Autosomal recessive	203650	3	APMR1	203650	max lod at D3S3583
NA	NA	NA	3	PRKCSH	602382	NA
NA	NA	NA	3	FNDC3B	611909	NA
Growth hormone deficiency, isolated partial	Autosomal recessive; Autosomal dominant	615925	3	GHSR,GHDP	601898	NA
NA	NA	NA	3	APO2L,TNFSF10	603598	NA
NA	NA	NA	3	NCEH1	613234	NA
NA	NA	NA	3	ECT2	600586	NA
?Spermatogenic failure 6	Autosomal recessive	102530	3	SPATA16,SPGF6	609856	mutation identified in 1 SPGF6 family
NA	NA	NA	3	NLGN1	600568	NA
NA	NA	NA	3	NAALADL2	608806	?involved in Cornelia de Lange syndrome
Epilepsy, myoclonic, familial adult, 4	Autosomal dominant	615127	3	FAME4,FCMTE4	615127	between D3S3730 and D3S1580
NA	NA	NA	3	TBL1XR1	608628	NA
NA	NA	NA	3	KCNMB3	605214	NA
NA	NA	NA	3	ZMAT3	606452	NA
Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic	None	602501	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
CLOVE syndrome, somatic	None	612918	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
Keratosis, seborrheic, somatic	None	182000	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
Breast cancer, somatic	None	114480	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
Hepatocellular carcinoma, somatic	None	114550	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
Ovarian cancer, somatic	None	167000	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
Gastric cancer, somatic	None	613659	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
Nonsmall cell lung cancer, somatic	None	211980	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
Cowden syndrome 5	None	615108	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
Nevus, epidermal, somatic	None	162900	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
Colorectal cancer, somatic	None	114500	3	CLOVE,MCMTC,PIK3CA,CWS5,MCM,BRD4	171834	NA
NA	NA	NA	3	KCNMB3	605222	NA
Charcot-Marie-Tooth disease, dominant intermediate F	Autosomal dominant	615185	3	GNB4,CMTD1F	610863	NA
NA	NA	NA	3	BAF53,ACTL6A	604958	NA
NA	NA	NA	3	MRPL47	611852	NA
NA	NA	NA	3	USP13,ISOT3	603591	NA
NA	NA	NA	3	PEX5L,PXR2B	611058	NA
Ciliary dyskinesia, primary, 14	None	613807	3	CCDC39	613798	NA
NA	NA	NA	3	FXR1	600819	pseudogene on 12q12
3-methylglutaconic aciduria, type V	Autosomal recessive	610198	3	TIM14,DNAJC19	608977	NA
NA	NA	NA	3	SOX2-OT	616338	NA
Optic nerve hypoplasia and abnormalities of the central nervous system	Autosomal dominant	206900	3	SOX2,MCOPS3	184429	NA
Microphthalmia, syndromic 3	Autosomal dominant	206900	3	SOX2,MCOPS3	184429	NA
NA	NA	NA	3	ATP11B	605869	NA
NA	NA	NA	3	DCUN1D1	605905	previously mapped to 6q16
Abdominal obesity-metabolic syndrome 1	None	605552	3	AOMS1,SYNX	605552	epistatic gene on 17p12
Spastic paraplegia 14, autosomal recessive	Autosomal recessive	605229	3	SPG14	605229	NA
3-Methylcrotonyl-CoA carboxylase 1 deficiency	Autosomal recessive	210200	3	MCCC1	609010	NA
NA	NA	NA	3	LAMP3	605883	NA
NA	NA	NA	3	B3GNT5	615333	NA
NA	NA	NA	3	KLHL6,KLHL7	614214	NA
NA	NA	NA	3	KLHL24,KRIP6	611295	NA
NA	NA	NA	3	YEATS2	613373	NA
NA	NA	NA	3	MAP6D1,MAPO6D1	610593	NA
NA	NA	NA	3	PARL	607858	NA
NA	NA	NA	3	ABCC5,MOATC	605251	NA
NA	NA	NA	3	HTR3D	610122	NA
NA	NA	NA	3	HTR3C	610121	NA
NA	NA	NA	3	HTR3E	610123	NA
Ovarioleukodystrophy	Autosomal recessive	603896	3	C14orf166,LVWM,EIF2B5,CACH	603945	NA
Leukoencephalopathy with vanishing white matter	Autosomal recessive	603896	3	C14orf166,LVWM,EIF2B5,CACH	603945	NA
NA	NA	NA	3	DVL3	601368	NA
NA	NA	NA	3	AP2M1	601024	NA
NA	NA	NA	3	MIR1224	611620	NA
Congenital disorder of glycosylation, type Id	Autosomal recessive	601110	3	ALG3,CDG1D	608750	NA
NA	NA	NA	3	ECE2	610145	NA
NA	NA	NA	3	CAMK2N2,CAMKIIN	608721	NA
NA	NA	NA	3	PSMD2	606223	NA
Parkinson disease 18	Autosomal dominant	614251	3	EIF4G1	600495	amplified in squamous cell lung cancer
Leukoencephalopathy with ataxia	Autosomal recessive	615651	3	CLCN2,EGI11,LKPAT,ECA2,EJM8,EGMA	600570	NA
Epilepsy, juvenile myoclonic, susceptibility to, 8	Autosomal dominant	607628	3	CLCN2,EGI11,LKPAT,ECA2,EJM8,EGMA	600570	NA
Epilepsy, juvenile absence, susceptibility to, 2	Autosomal dominant	607628	3	CLCN2,EGI11,LKPAT,ECA2,EJM8,EGMA	600570	NA
Epilepsy, idiopathic generalized, susceptibility to, 11	Autosomal dominant	607628	3	CLCN2,EGI11,LKPAT,ECA2,EJM8,EGMA	600570	NA
NA	NA	NA	3	POLR2H	606023	NA
Thrombocythemia 1	Autosomal dominant	187950	3	THCYT1,THPO	600044	NA
NA	NA	NA	3	CHRD	603475	near THPO, CLCN2, EIF4G1
NA	NA	NA	3	EPHB3	601839	NA
NA	NA	NA	3	MAGEF1	609267	NA
?Fanconi renotubular syndrome 3	Autosomal dominant	615605	3	LBFP,PBFE,FRTS3,EHHADH	607037	mutation identified in 1 family
NA	NA	NA	3	MAP3K13	604915	NA
Hypotrichosis 7	Autosomal recessive	604379	3	LIPH,LAH2,ARWH2,HYPT7	607365	NA
Woolly hair, autosomal recessive 2 with or without hypotrichosis	Autosomal recessive	604379	3	LIPH,LAH2,ARWH2,HYPT7	607365	NA
NA	NA	NA	3	SENP2	608261	NA
Diabetes mellitus, noninsulin-dependent, susceptibility to	Autosomal dominant	125853	3	IGF2BP2,IMMP2L	608289	NA
NA	NA	NA	3	TRA2B	602719	NA
NA	NA	NA	3	ETV5	601600	NA
NA	NA	NA	3	DGKG	601854	NA
Cataract 20, multiple types	Autosomal dominant	116100	3	CTRCT20,CRYGS	123730	NA
NA	NA	NA	3	DJ9,DNAJB11,ABBP2	611341	NA
NA	NA	NA	3	AHSG	138680	linked to TF, CHE1; ?order = cen-TF-CHE1-AHSG
NA	NA	NA	3	FETUB	605954	NA
Thrombophilia due to HRG deficiency	None	613116	3	NRG1,THPH11	142640	NA
Thrombophilia due to elevated HRG	None	613116	3	NRG1,THPH11	142640	NA
Kininogen deficiency	Autosomal recessive	228960	3	KNG1	612358	NA
High molecular weight kininogen deficiency	Autosomal recessive	228960	3	KNG1	612358	NA
NA	NA	NA	3	EIF4A2	601102	previously 18p11.2 by FISH
NA	NA	NA	3	SNORA63	180647	NA
NA	NA	NA	3	RFC4	102577	NA
Adiponectin deficiency	None	612556	3	APM1,ADIPQTL1,ADIPOQ	605441	NA
NA	NA	NA	3	ST6GAL1	109675	NA
NA	NA	NA	3	RPL39L	607547	NA
NA	NA	NA	3	RTP1	609137	NA
3MC syndrome 1	Autosomal recessive	257920	3	3MC1,MASP1	600521	NA
NA	NA	NA	3	RTP4	609350	NA
NA	NA	NA	3	SST	182450	NA
NA	NA	NA	3	RTP2	609138	NA
Lymphoma, B-cell	None	109565	3	BCL6	109565	NA
Lipoma	None	NA	3	LPP	600700	fused with HMGIC in lipoma; fused with MLL in leukemia
Leukemia, acute myeloid	Autosomal dominant	601626	3	LPP	600700	fused with HMGIC in lipoma; fused with MLL in leukemia
Celiac disease, susceptibility to, 11	None	612009	3	CELIAC11	612009	associated with rs1464510
Lung cancer susceptibility 5	None	614210	3	LNCR5	614210	associated with rs4488809
NA	NA	NA	3	MIR28	612154	NA
ADULT syndrome	Autosomal dominant	103285	3	TP63,RHS,LMS	603273	NA
Rapp-Hodgkin syndrome	Autosomal dominant	129400	3	TP63,RHS,LMS	603273	NA
Orofacial cleft 8	Autosomal dominant	129400	3	TP63,RHS,LMS	603273	NA
Limb-mammary syndrome	Autosomal dominant	603543	3	TP63,RHS,LMS	603273	NA
Hay-Wells syndrome	Autosomal dominant	106260	3	TP63,RHS,LMS	603273	NA
Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3	Autosomal dominant	604292	3	TP63,RHS,LMS	603273	NA
Split-hand/foot malformation 4	Autosomal dominant	605289	3	TP63,RHS,LMS	603273	NA
Myopia, high, with cataract and vitreoretinal degeneration	Autosomal recessive	614292	3	P3H2,MCVD	610341	NA
Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis	Autosomal recessive	607626	3	CLDN1	603718	NA
Hypomagnesemia 3, renal	Autosomal recessive	248250	3	CLDN16	603959	NA
NA	NA	NA	3	TMEM207	614786	NA
NA	NA	NA	3	IL1RAP	602626	NA
NA	NA	NA	3	GMNC	614448	NA
NA	NA	NA	3	OSTN	610280	NA
?Deafness, autosomal dominant 44	Autosomal dominant	607453	3	CCDC50	611051	mutation identified in 1 DFNA44 family
NA	NA	NA	3	CNOT8,PYDC2	615701	NA
NA	NA	NA	3	FGF12	601513	NA
Chromosome 3q29 microdeletion syndrome	Isolated cases	609425	3	MICRODEL3q29,DEL3q29	609425	contiguous gene deletion syndrome
Chromosome 3q29 microduplication syndrome	Autosomal dominant	611936	3	DUP3q29,MICRODUP3q29	611936	contiguous gene duplication syndrome
NA	NA	NA	3	HRASLS	606487	NA
NA	NA	NA	3	ATP13A4	609556	NA
Glaucoma, normal tension, susceptibility to	None	606657	3	MED12,OPA1	605290	NA
Optic atrophy plus syndrome	Autosomal dominant	125250	3	MED12,OPA1	605290	NA
Optic atrophy 1	Autosomal dominant	165500	3	MED12,OPA1	605290	NA
NA	NA	NA	3	HES1,C21orf33	139605	NA
NA	NA	NA	3	CPNE2	603104	conflicting assignment to chr.8
NA	NA	NA	3	GP5	173511	NA
NA	NA	NA	3	ATP13A3	610232	NA
NA	NA	NA	3	LSG1	610780	NA
NA	NA	NA	3	XXYLT1	614552	NA
NA	NA	NA	3	ACAP2	607766	NA
NA	NA	NA	3	PPP1R2	601792	pseudogenes on chr. 5 and 6
NA	NA	NA	3	APOD	107740	NA
NA	NA	NA	3	MIR570	614538	NA
NA	NA	NA	3	MUC20	610360	NA
NA	NA	NA	3	MUC4	158372	NA
NA	NA	NA	3	TNK2	606994	NA
Immunodeficiency 46	None	616740	3	IMD46,TFRC,TFR	190010	NA
NA	NA	NA	3	OSTA	612084	NA
Spondylometaphyseal dysplasia with cone-rod dystrophy	Autosomal recessive	608940	3	PCYT1A,SMDCRD	123695	NA
NA	NA	NA	3	UBXN7	616379	NA
RIDDLE syndrome	Autosomal recessive	611943	3	RNF168	612688	NA
NA	NA	NA	3	WDR53	615110	NA
NA	NA	NA	3	FBXO45,FBX45	609112	NA
NA	NA	NA	3	NRROS	615322	NA
Morbid obesity and spermatogenic failure	Autosomal recessive	615703	3	CEP19,MOSPGF	615586	mutation identified in 1 family
NA	NA	NA	3	PIGX	610276	NA
NA	NA	NA	3	PAK2	605022	deleted in 3q29 microdeletion syndrome
NA	NA	NA	3	SENP5	612845	NA
NA	NA	NA	3	NCBP2	605133	NA
NA	NA	NA	3	PIGZ	611671	NA
NA	NA	NA	3	MFI2	155750	NA
NA	NA	NA	3	DLGAP5	601014	deleted in 3q29 microdeletion syndrome
NA	NA	NA	3	BDH1	603063	NA
?Spinocerebellar ataxia, autosomal recessive 15	Autosomal recessive	615705	3	KIAA0226,RUBICON,RUBCN,SCAR15	613516	mutation identified in 1 family
NA	NA	NA	3	IQCG	612477	NA
Diamond-Blackfan anemia 5	None	612528	3	DBA5,RPL35A	180468	previous assignment to chr.18 in error
NA	NA	NA	3	LMLN	609380	NA
Craniosynostosis, Adelaide type	?Autosomal dominant	600593	4	CRSA,CRISP3	600593	NA
Intelligence QTL1	None	603783	4	INTLQ1	603783	associated with D4S2943, MSX1, and D4S1607
Muscular dystrophy, congenital, merosin-positive	Autosomal recessive	609456	4	MDCMP	609456	max lod at D4S432
Mental health wellness-1	None	603663	4	MHW1	603663	at D4S2949
Microtia with nasolacrimal duct imperforation and eye coloboma	None	NA	4	MNDEC	611863	copy number variant (CNV) association
Primary lateral sclerosis, adult, 1	Autosomal dominant	611637	4	PLSA1,PLSA	611637	max lod at D4S2936
Systemic lupus erythematosus, susceptibility to, 3	None	605480	4	SLEB3	605480	NA
Spastic paraplegia 38, autosomal dominant	Autosomal dominant	612335	4	SPG38	612335	between D4S432 and D4S1599
Stargardt disease 4	None	603786	4	PROM1	603786	NA
Wolf-Hirschhorn syndrome	Isolated cases	194190	4	WHS	194190	contiguous gene syndrome; critical region 200kb region 1.9Mb from telomere
?Polydactyly, postaxial, type A6	Autosomal recessive	615226	4	ZNF141,PAPA6	194648	1 family identified with mutation
Night blindness, congenital stationary, autosomal dominant 2	Autosomal dominant	163500	4	PDE6B	180072	NA
Retinitis pigmentosa-40	Autosomal recessive	613801	4	PDE6B	180072	NA
NA	NA	NA	4	ATP5K,ATP5I	601519	NA
NA	NA	NA	4	MYL5	160782	NA
NA	NA	NA	4	CPXM1,CPLX1	605032	NA
NA	NA	NA	4	GAK	602052	NA
NA	NA	NA	4	TMEM175	616660	NA
NA	NA	NA	4	DGKQ	601207	NA
NA	NA	NA	4	SLC25A1,SLC38A1	610130	NA
